"PAR","Pn"
0,-38.2363171763825
10,-36.4171314115701
20,-33.0586415584297
30,-28.4880557723919
40,-24.6338370349595
50,-22.0077861529999
60,-21.6739543204931
70,-20.1433531472616
80,-16.1770150997462
90,-12.5886384625871
100,-13.9572308784924
110,-12.3607406297973
120,-9.87250137167072
130,-7.44933838112816
140,-7.33006896758738
150,-4.0079641056581
160,-1.99832992590156
170,-3.74075319920252
180,-2.17888012996479
190,-0.991893884361922
200,1.5325587997213
210,1.09849864772146
220,0.791401596974108
230,1.6074498700833
240,1.42741267882894
250,3.22958133095809
260,3.14286979680106
270,2.8535515777547
280,5.53482827755283
290,6.45835768011795
300,4.50037508078612
310,4.47286058540445
320,6.1061741254894
330,5.32360095989182
340,7.06009860138513
350,8.30099903627438
360,5.32124628658734
370,9.29805633895688
380,7.83012399390737
390,6.93543972515918
400,7.23727594324546
410,7.1644969565916
420,9.5111203082726
430,7.70829606157699
440,8.19578498109299
450,8.87388718711178
460,10.0134173387772
470,9.16625056679892
480,8.05277362584611
490,8.63654323147752
500,9.12316963696368
510,8.72945352182716
520,9.16387350757201
530,10.2415493090038
540,7.47962007510142
550,8.90736612620991
560,11.1737202905553
570,10.096258772139
580,11.0115565676583
590,10.4697897950035
600,11.0230139023625
610,10.1943103578121
620,7.70262806307118
630,8.93765049791035
640,10.0540433031829
650,9.41527610291703
660,9.5394138059925
670,8.91314782984849
680,10.1713883745241
690,8.12197298686042
700,11.5974882384006
710,11.3798065473404
720,11.6074649914243
730,11.098178454255
740,9.78587719505791
750,11.7540174821262
760,8.52386111474747
770,11.2476583807477
780,10.8381295086235
790,11.5735224143054
800,8.73165741090222
810,8.23616484460491
820,10.9138330563666
830,8.95193791457082
840,11.8773766334769
850,9.74489755049943
860,7.96811686523309
870,7.97513060086957
880,11.243255685248
890,10.9259646239131
900,8.34821469400227
910,11.5900537244106
920,10.0514155904265
930,11.1545745852704
940,8.7954028487596
950,11.2681974090317
960,10.5285836823942
970,9.73119253310617
980,11.6777620220032
990,8.51627797704677
1000,8.10148168413734
